Output | Truth | Graph
______________________
75 | 75 | circular_ladder_3
384 | 384 | circular_ladder_4
1805 | 1805 | circular_ladder_5
8100 | 8100 | circular_ladder_6
1 | 1 | complete_1
1 | 1 | complete_2
3 | 3 | complete_3
16 | 16 | complete_4
125 | 125 | complete_5
1296 | 1296 | complete_6
16807 | 16807 | complete_7
262144 | 262144 | complete_8
4 | 4 | complete_bipartite_2_2
12 | 12 | complete_bipartite_2_3
32 | 32 | complete_bipartite_2_4
80 | 80 | complete_bipartite_2_5
81 | 81 | complete_bipartite_3_3
432 | 432 | complete_bipartite_3_4
2025 | 2025 | complete_bipartite_3_5
4096 | 4096 | complete_bipartite_4_4
32000 | 32000 | complete_bipartite_4_5
390625 | 390625 | complete_bipartite_5_5
384 | 384 | cube_3
42467328 | 42467328 | cube_4
1 | 1 | cycle_02
3 | 3 | cycle_03
4 | 4 | cycle_04
5 | 5 | cycle_05
6 | 6 | cycle_06
7 | 7 | cycle_07
8 | 8 | cycle_08
9 | 9 | cycle_09
10 | 10 | cycle_10
11 | 11 | cycle_11
12 | 12 | cycle_12
13 | 13 | cycle_13
14 | 14 | cycle_14
15 | 15 | cycle_15
16 | 16 | cycle_16
17 | 17 | cycle_17
18 | 18 | cycle_18
19 | 19 | cycle_19
20 | 20 | cycle_20
21 | 21 | cycle_21
22 | 22 | cycle_22
23 | 23 | cycle_23
24 | 24 | cycle_24
25 | 25 | cycle_25
26 | 26 | cycle_26
27 | 27 | cycle_27
28 | 28 | cycle_28
29 | 29 | cycle_29
30 | 30 | cycle_30
3 | 3 | dipole_03
4 | 4 | dipole_04
5 | 5 | dipole_05
6 | 6 | dipole_06
7 | 7 | dipole_07
8 | 8 | dipole_08
9 | 9 | dipole_09
10 | 10 | dipole_10
11 | 11 | dipole_11
12 | 12 | dipole_12
13 | 13 | dipole_13
14 | 14 | dipole_14
15 | 15 | dipole_15
16 | 16 | dipole_16
17 | 17 | dipole_17
18 | 18 | dipole_18
19 | 19 | dipole_19
20 | 20 | dipole_20
21 | 21 | dipole_21
22 | 22 | dipole_22
23 | 23 | dipole_23
24 | 24 | dipole_24
25 | 25 | dipole_25
26 | 26 | dipole_26
27 | 27 | dipole_27
28 | 28 | dipole_28
29 | 29 | dipole_29
30 | 30 | dipole_30
5184000 | 5184000 | dodecahedral_graph
4 | 4 | grid_2_2
15 | 15 | grid_2_3
56 | 56 | grid_2_4
209 | 209 | grid_2_5
192 | 192 | grid_3_3
2415 | 2415 | grid_3_4
30305 | 30305 | grid_3_5
100352 | 100352 | grid_4_4
4140081 | 4140081 | grid_4_5
5 | 5 | harary_2_5
6 | 6 | harary_2_6
7 | 7 | harary_2_7
8 | 8 | harary_2_8
9 | 9 | harary_2_9
45 | 45 | harary_3_5
81 | 81 | harary_3_6
231 | 231 | harary_3_7
392 | 392 | harary_3_8
1111 | 1111 | harary_3_9
125 | 125 | harary_4_5
384 | 384 | harary_4_6
1183 | 1183 | harary_4_7
3528 | 3528 | harary_4_8
10404 | 10404 | harary_4_9
1296 | 1296 | harary_5_6
6125 | 6125 | harary_5_7
20808 | 20808 | harary_5_8
102336 | 102336 | harary_5_9
16807 | 16807 | harary_6_7
82944 | 82944 | harary_6_8
412164 | 412164 | harary_6_9
262144 | 262144 | harary_7_8
1750329 | 1750329 | harary_7_9
4782969 | 4782969 | harary_8_9
11 | 11 | house_graph
5184000 | 5184000 | icosahedral_graph
384 | 384 | octahedral_graph
1 | 1 | path_03
1 | 1 | path_04
1 | 1 | path_05
1 | 1 | path_06
1 | 1 | path_07
1 | 1 | path_08
1 | 1 | path_09
1 | 1 | path_10
1 | 1 | path_11
1 | 1 | path_12
1 | 1 | path_13
1 | 1 | path_14
1 | 1 | path_15
1 | 1 | path_16
1 | 1 | path_17
1 | 1 | path_18
1 | 1 | path_19
1 | 1 | path_20
1 | 1 | path_21
1 | 1 | path_22
1 | 1 | path_23
1 | 1 | path_24
1 | 1 | path_25
1 | 1 | path_26
1 | 1 | path_27
1 | 1 | path_28
1 | 1 | path_29
1 | 1 | path_30
2000 | 2000 | petersen_graph
16 | 16 | wheel_04
45 | 45 | wheel_05
121 | 121 | wheel_06
320 | 320 | wheel_07
841 | 841 | wheel_08
2205 | 2205 | wheel_09
5776 | 5776 | wheel_10
15125 | 15125 | wheel_11
39601 | 39601 | wheel_12
